Legacy NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Time Period,Time Service Begins,Time Service Ends
0001,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,Average Weekday - AM Peak,,
0001,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,Average Weekday - Midday,,
0001,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,Average Weekday - PM Peak,,
0001,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,Average Weekday - Other,,
0001,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,Average Typical Weekday,12:00 AM,12:00 AM
0001,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,Average Typical Saturday,12:00 AM,12:00 AM
0001,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,Average Typical Sunday,12:00 AM,12:00 AM
0001,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,Annual Total,,
0001,King County Department of Metro Transit,Full Reporter,Urban,DT,PT,Average Weekday - AM Peak,,
0001,King County Department of Metro Transit,Full Reporter,Urban,DT,PT,Average Weekday - Midday,,
0001,King County Department of Metro Transit,Full Reporter,Urban,DT,PT,Average Weekday - PM Peak,,
0001,King County Department of Metro Transit,Full Reporter,Urban,DT,PT,Average Weekday - Other,,
0001,King County Department of Metro Transit,Full Reporter,Urban,DT,PT,Average Typical Weekday,,
0001,King County Department of Metro Transit,Full Reporter,Urban,DT,PT,Average Typical Saturday,,
0001,King County Department of Metro Transit,Full Reporter,Urban,DT,PT,Average Typical Sunday,,
0001,King County Department of Metro Transit,Full Reporter,Urban,DT,PT,Annual Total,,
0001,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,Average Weekday - AM Peak,5:30 AM,9:15 AM
0001,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,Average Weekday - Midday,9:15 AM,3:15 PM
0001,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,Average Weekday - PM Peak,3:15 PM,7:15 PM
0001,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,Average Weekday - Other,,
0001,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,Average Typical Weekday,5:30 AM,7:30 PM
0001,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,Average Typical Saturday,8:30 AM,11:30 PM
0001,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,Average Typical Sunday,8:30 AM,8:30 PM
0001,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,Annual Total,,
0001,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,Average Weekday - AM Peak,6:00 AM,9:00 AM
0001,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,Average Weekday - Midday,9:00 AM,3:00 PM
0001,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,Average Weekday - PM Peak,3:00 PM,7:00 PM
0001,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,Average Weekday - Other,,
0001,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,Average Typical Weekday,12:00 AM,12:00 AM
0001,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,Average Typical Saturday,12:00 AM,12:00 AM
0001,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,Average Typical Sunday,12:00 AM,12:00 AM
0001,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,Annual Total,,
0001,King County Department of Metro Transit,Full Reporter,Urban,MB,PT,Average Weekday - AM Peak,6:00 AM,9:00 AM
0001,King County Department of Metro Transit,Full Reporter,Urban,MB,PT,Average Weekday - Midday,9:00 AM,3:00 PM
0001,King County Department of Metro Transit,Full Reporter,Urban,MB,PT,Average Weekday - PM Peak,3:00 PM,7:00 PM
0001,King County Department of Metro Transit,Full Reporter,Urban,MB,PT,Average Weekday - Other,,
0001,King County Department of Metro Transit,Full Reporter,Urban,MB,PT,Average Typical Weekday,4:45 AM,9:41 PM
0001,King County Department of Metro Transit,Full Reporter,Urban,MB,PT,Average Typical Saturday,8:20 AM,9:02 PM
0001,King County Department of Metro Transit,Full Reporter,Urban,MB,PT,Average Typical Sunday,8:40 AM,8:14 PM
0001,King County Department of Metro Transit,Full Reporter,Urban,MB,PT,Annual Total,,
0001,King County Department of Metro Transit,Full Reporter,Urban,SR,DO,Average Weekday - AM Peak,5:55 AM,9:57 AM
0001,King County Department of Metro Transit,Full Reporter,Urban,SR,DO,Average Weekday - Midday,9:57 AM,2:55 PM
0001,King County Department of Metro Transit,Full Reporter,Urban,SR,DO,Average Weekday - PM Peak,2:55 PM,7:23 PM
0001,King County Department of Metro Transit,Full Reporter,Urban,SR,DO,Average Weekday - Other,,
0001,King County Department of Metro Transit,Full Reporter,Urban,SR,DO,Average Typical Weekday,4:32 AM,12:00 AM
0001,King County Department of Metro Transit,Full Reporter,Urban,SR,DO,Average Typical Saturday,4:32 AM,12:00 AM
0001,King County Department of Metro Transit,Full Reporter,Urban,SR,DO,Average Typical Sunday,9:27 AM,10:57 PM
0001,King County Department of Metro Transit,Full Reporter,Urban,SR,DO,Annual Total,,
0001,King County Department of Metro Transit,Full Reporter,Urban,TB,DO,Average Weekday - AM Peak,6:00 AM,9:00 AM
0001,King County Department of Metro Transit,Full Reporter,Urban,TB,DO,Average Weekday - Midday,9:00 AM,3:00 PM
0001,King County Department of Metro Transit,Full Reporter,Urban,TB,DO,Average Weekday - PM Peak,3:00 PM,6:00 PM
0001,King County Department of Metro Transit,Full Reporter,Urban,TB,DO,Average Weekday - Other,,
0001,King County Department of Metro Transit,Full Reporter,Urban,TB,DO,Average Typical Weekday,12:00 AM,12:00 AM
0001,King County Department of Metro Transit,Full Reporter,Urban,TB,DO,Average Typical Saturday,12:00 AM,12:00 AM
0001,King County Department of Metro Transit,Full Reporter,Urban,TB,DO,Average Typical Sunday,12:00 AM,12:00 AM
0001,King County Department of Metro Transit,Full Reporter,Urban,TB,DO,Annual Total,,
0001,King County Department of Metro Transit,Full Reporter,Urban,VP,DO,Average Weekday - AM Peak,,
0001,King County Department of Metro Transit,Full Reporter,Urban,VP,DO,Average Weekday - Midday,,
0001,King County Department of Metro Transit,Full Reporter,Urban,VP,DO,Average Weekday - PM Peak,,
0001,King County Department of Metro Transit,Full Reporter,Urban,VP,DO,Average Weekday - Other,,
0001,King County Department of Metro Transit,Full Reporter,Urban,VP,DO,Average Typical Weekday,,
0001,King County Department of Metro Transit,Full Reporter,Urban,VP,DO,Average Typical Saturday,,
0001,King County Department of Metro Transit,Full Reporter,Urban,VP,DO,Average Typical Sunday,,
0001,King County Department of Metro Transit,Full Reporter,Urban,VP,DO,Annual Total,,
0002,Spokane Transit Authority,Full Reporter,Urban,DR,DO,Average Weekday - AM Peak,,
0002,Spokane Transit Authority,Full Reporter,Urban,DR,DO,Average Weekday - Midday,,
0002,Spokane Transit Authority,Full Reporter,Urban,DR,DO,Average Weekday - PM Peak,,
0002,Spokane Transit Authority,Full Reporter,Urban,DR,DO,Average Weekday - Other,,
0002,Spokane Transit Authority,Full Reporter,Urban,DR,DO,Average Typical Weekday,4:55 AM,12:35 AM
0002,Spokane Transit Authority,Full Reporter,Urban,DR,DO,Average Typical Saturday,5:25 AM,12:35 AM
0002,Spokane Transit Authority,Full Reporter,Urban,DR,DO,Average Typical Sunday,7:05 AM,9:15 PM
0002,Spokane Transit Authority,Full Reporter,Urban,DR,DO,Annual Total,,
0002,Spokane Transit Authority,Full Reporter,Urban,DR,PT,Average Weekday - AM Peak,,
0002,Spokane Transit Authority,Full Reporter,Urban,DR,PT,Average Weekday - Midday,,
0002,Spokane Transit Authority,Full Reporter,Urban,DR,PT,Average Weekday - PM Peak,,
0002,Spokane Transit Authority,Full Reporter,Urban,DR,PT,Average Weekday - Other,,
0002,Spokane Transit Authority,Full Reporter,Urban,DR,PT,Average Typical Weekday,4:55 AM,12:23 AM
0002,Spokane Transit Authority,Full Reporter,Urban,DR,PT,Average Typical Saturday,5:25 AM,12:35 AM
0002,Spokane Transit Authority,Full Reporter,Urban,DR,PT,Average Typical Sunday,7:05 AM,9:15 PM
0002,Spokane Transit Authority,Full Reporter,Urban,DR,PT,Annual Total,,
0002,Spokane Transit Authority,Full Reporter,Urban,MB,DO,Average Weekday - AM Peak,4:30 AM,9:00 AM
0002,Spokane Transit Authority,Full Reporter,Urban,MB,DO,Average Weekday - Midday,9:00 AM,3:00 PM
0002,Spokane Transit Authority,Full Reporter,Urban,MB,DO,Average Weekday - PM Peak,3:00 PM,6:00 PM
0002,Spokane Transit Authority,Full Reporter,Urban,MB,DO,Average Weekday - Other,,
0002,Spokane Transit Authority,Full Reporter,Urban,MB,DO,Average Typical Weekday,4:30 AM,12:40 AM
0002,Spokane Transit Authority,Full Reporter,Urban,MB,DO,Average Typical Saturday,4:50 AM,12:40 AM
0002,Spokane Transit Authority,Full Reporter,Urban,MB,DO,Average Typical Sunday,6:50 AM,8:30 PM
0002,Spokane Transit Authority,Full Reporter,Urban,MB,DO,Annual Total,,
0002,Spokane Transit Authority,Full Reporter,Urban,VP,DO,Average Weekday - AM Peak,,
0002,Spokane Transit Authority,Full Reporter,Urban,VP,DO,Average Weekday - Midday,,
0002,Spokane Transit Authority,Full Reporter,Urban,VP,DO,Average Weekday - PM Peak,,
0002,Spokane Transit Authority,Full Reporter,Urban,VP,DO,Average Weekday - Other,,
0002,Spokane Transit Authority,Full Reporter,Urban,VP,DO,Average Typical Weekday,6:00 AM,7:00 PM
0002,Spokane Transit Authority,Full Reporter,Urban,VP,DO,Average Typical Saturday,7:00 AM,6:00 PM
0002,Spokane Transit Authority,Full Reporter,Urban,VP,DO,Average Typical Sunday,8:00 AM,5:00 PM
0002,Spokane Transit Authority,Full Reporter,Urban,VP,DO,Annual Total,,
0003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,Average Weekday - AM Peak,,
0003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,Average Weekday - Midday,,
0003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,Average Weekday - PM Peak,,
0003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,Average Weekday - Other,,
0003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,Average Typical Weekday,3:45 AM,11:59 PM
0003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,Average Typical Saturday,,
0003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,Average Typical Sunday,,
0003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,Annual Total,,
0003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT,Average Weekday - AM Peak,,
0003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT,Average Weekday - Midday,,
0003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT,Average Weekday - PM Peak,,
0003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT,Average Weekday - Other,,
0003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT,Average Typical Weekday,3:45 AM,11:59 PM
0003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT,Average Typical Saturday,5:45 AM,11:59 PM
0003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT,Average Typical Sunday,6:15 AM,11:59 PM
0003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT,Annual Total,,
0003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,Average Weekday - AM Peak,6:00 AM,9:00 AM
0003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,Average Weekday - Midday,9:00 AM,2:00 PM
0003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,Average Weekday - PM Peak,2:00 PM,6:00 PM
0003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,Average Weekday - Other,,
0003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,Average Typical Weekday,3:32 AM,12:05 AM
0003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,Average Typical Saturday,5:28 AM,12:19 AM
0003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,Average Typical Sunday,5:58 AM,11:05 PM
0003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,Annual Total,,
0003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,Average Weekday - AM Peak,,
0003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,Average Weekday - Midday,,
0003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,Average Weekday - PM Peak,,
0003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,Average Weekday - Other,,
0003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,Average Typical Weekday,12:00 AM,11:59 PM
0003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,Average Typical Saturday,12:00 AM,11:59 PM
0003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,Average Typical Sunday,12:00 AM,11:59 PM
0003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,Annual Total,,
0T04,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,FB,DO,Annual Total,,
0T04,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,MB,DO,Annual Total,,
